County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Alpine_ 2016 Q2 Court,55,Alpine, 2016 Q2 Court,5,0,0,0,0,0,0,0,0,0,Alpine,Karen Dustman,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2016 Q3 Court,56,Alpine, 2016 Q3 Court,0,0,0,0,0,0,7,0,0,0,Alpine,Karen Dustman,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2016 Q4 Court,57,Alpine, 2016 Q4 Court,2,0,0,0,0,0,3,0,1,0,Alpine,Karen Dustman,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2017 Q1 Court,58,Alpine, 2017 Q1 Court,2,0,0,1,1,0,5,0,0,0,Alpine,Karen Dustman,0,0,NA,NA,0,,2,0,50,0,50
Alpine_ 2017 Q2 Court,59,Alpine, 2017 Q2 Court,8,0,0,0,0,0,7,0,0,0,Alpine,Karen Dustman,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2017 Q3 Court,60,Alpine, 2017 Q3 Court,2,0,0,1,0,0,4,0,0,0,Alpine,Karen Dustman,0,0,NA,NA,0,,1,0,100,0,0
Alpine_ 2017 Q4 Court,61,Alpine, 2017 Q4 Court,5,0,0,2,0,0,6,0,0,1,Alpine,Karen Dustman,0,0,NA,NA,0,,2,0,100,0,0
Alpine_ 2018 Q1 Court,62,Alpine, 2018 Q1 Court,1,1,1,2,0,0,3,0,0,0,Alpine,Karen Dustman,0,0,NA,0,0,,3,33.33333333,66.66666667,0,0
Alpine_ 2018 Q2 Court,63,Alpine, 2018 Q2 Court,3,0,0,0,0,0,4,0,0,0,Alpine,Karen Dustman,0,0,NA,0,0,,0,NA,NA,NA,NA
Alpine_ 2018 Q3 Court,64,Alpine, 2018 Q3 Court,5,0,0,1,0,0,1,0,0,0,Alpine,Karen Dustman,0,0,NA,0,1,,1,0,100,0,0
Alpine_ 2018 Q4 Court,65,Alpine, 2018 Q4 Court,3,3,0,1,0,0,1,0,0,0,Alpine,Karen Dustman,0,0,NA,0,1,,1,0,100,0,0
Alpine_ 2019 Q1 Court,66,Alpine, 2019 Q1 Court,10,0,0,1,0,0,1,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,1,0,100,0,0
Alpine_ 2019 Q2 Court,67,Alpine, 2019 Q2 Court,5,2,1,0,0,0,0,0,0,1,Alpine,Michael Atwell,0,0,NA,NA,0,,1,100,0,0,0
Alpine_ 2019 Q3 Court,68,Alpine, 2019 Q3 Court,7,0,0,1,0,0,1,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,1,0,100,0,0
Alpine_ 2019 Q4 Court,69,Alpine, 2019 Q4 Court,6,0,0,1,0,0,2,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,1,0,100,0,0
Alpine_ 2020 Q1 Court,70,Alpine, 2020 Q1 Court,4,0,1,2,0,0,0,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,3,33.33333333,66.66666667,0,0
Alpine_ 2020 Q2 Court,71,Alpine, 2020 Q2 Court,1,0,0,1,0,0,0,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,1,0,100,0,0
Alpine_ 2020 Q3 Court,72,Alpine, 2020 Q3 Court,4,1,0,0,0,0,1,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2020 Q4 Court,73,Alpine, 2020 Q4 Court,3,0,0,0,0,0,0,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2021 Q1 Court,74,Alpine, 2021 Q1 Court,3,1,0,0,0,0,0,0,0,1,Alpine,Michael Atwell,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2021 Q2 Court,75,Alpine, 2021 Q2 Court,2,0,0,0,0,0,2,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2021 Q3 Court,76,Alpine, 2021 Q3 Court,1,0,0,0,0,0,0,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2021 Q4 Court,77,Alpine, 2021 Q4 Court,5,0,0,3,0,0,0,0,0,0,Alpine,Michael Atwell,0,0,NA,NA,0,,3,0,100,0,0
