County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Colusa_2015 Q4 Court,252,Colusa,2015 Q4 Court,66,13,10,11,1,0,10,1,3,1,Colusa,John R. Poyner,0,0,NA,NA,0,,22,45.454545,50.0,0.0,4.545455
Colusa_2016 Q1 Court,253,Colusa,2016 Q1 Court,85,21,8,18,6,1,23,1,4,1,Colusa,John R. Poyner,0,0,NA,NA,0,,33,24.242424,54.545455,3.030303,18.181818
Colusa_2016 Q2 Court,254,Colusa,2016 Q2 Court,70,12,11,20,1,3,35,2,4,2,Colusa,John R. Poyner,0,0,NA,NA,0,,35,31.428571,57.142857,8.571429,2.857143
Colusa_2016 Q3 Court,255,Colusa,2016 Q3 Court,58,10,8,21,2,3,29,4,3,0,Colusa,John R. Poyner,0,0,NA,NA,0,,34,23.529412,61.764706,8.823529,5.882353
Colusa_2016 Q4 Court,256,Colusa,2016 Q4 Court,63,12,4,13,2,0,28,2,3,1,Colusa,John R. Poyner,0,0,NA,NA,0,,19,21.052632,68.421053,0.0,10.526316
Colusa_2017 Q1 Court,257,Colusa,2017 Q1 Court,90,12,10,16,2,2,29,6,7,0,Colusa,John R. Poyner,0,0,NA,NA,0,,30,33.333333,53.333333,6.666667,6.666667
Colusa_2017 Q2 Court,258,Colusa,2017 Q2 Court,76,11,12,14,2,1,31,4,8,3,Colusa,John R. Poyner,0,0,NA,NA,0,,29,41.37931,48.275862,3.448276,6.896552
Colusa_2017 Q3 Court,259,Colusa,2017 Q3 Court,90,17,7,14,3,1,20,4,3,2,Colusa,John R. Poyner,0,0,NA,NA,0,,25,28.0,56.0,4.0,12.0
Colusa_2017 Q4 Court,260,Colusa,2017 Q4 Court,62,11,9,10,2,1,29,4,4,1,Colusa,John R. Poyner,0,0,NA,NA,0,,22,40.909091,45.454545,4.545455,9.090909
Colusa_2018 Q1 Court,261,Colusa,2018 Q1 Court,64,2,5,13,5,2,15,0,4,3,Colusa,John R. Poyner,0,0,NA,0,0,,25,20.0,52.0,8.0,20.0
Colusa_2018 Q2 Court,262,Colusa,2018 Q2 Court,65,13,4,26,6,0,55,1,8,1,Colusa,John R. Poyner,0,0,NA,0,0,,36,11.111111,72.222222,0.0,16.666667
Colusa_2018 Q3 Court,263,Colusa,2018 Q3 Court,58,5,4,9,5,5,11,0,7,2,Colusa,John R. Poyner,0,0,NA,0,1,,23,17.391304,39.130435,21.73913,21.73913
Colusa_2018 Q4 Court,264,Colusa,2018 Q4 Court,93,11,5,3,0,0,4,2,8,4,Colusa,John R. Poyner,0,0,NA,0,1,,8,62.5,37.5,0.0,0.0
Colusa_2019 Q1 Court,265,Colusa,2019 Q1 Court,96,45,6,3,0,0,3,0,4,1,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,9,66.666667,33.333333,0.0,0.0
Colusa_2019 Q2 Court,266,Colusa,2019 Q2 Court,66,9,7,6,1,1,6,1,5,2,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,15,46.666667,40.0,6.666667,6.666667
Colusa_2019 Q3 Court,267,Colusa,2019 Q3 Court,73,33,3,20,5,0,18,0,4,0,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,28,10.714286,71.428571,0.0,17.857143
Colusa_2019 Q4 Court,268,Colusa,2019 Q4 Court,77,21,9,16,3,0,19,0,4,4,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,28,32.142857,57.142857,0.0,10.714286
Colusa_2020 Q1 Court,269,Colusa,2020 Q1 Court,67,29,7,10,5,0,17,0,7,2,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,22,31.818182,45.454545,0.0,22.727273
Colusa_2020 Q2 Court,270,Colusa,2020 Q2 Court,62,20,2,4,0,0,10,0,4,0,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,6,33.333333,66.666667,0.0,0.0
Colusa_2020 Q3 Court,271,Colusa,2020 Q3 Court,65,29,5,16,0,0,15,1,12,0,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,21,23.809524,76.190476,0.0,0.0
Colusa_2020 Q4 Court,272,Colusa,2020 Q4 Court,57,30,3,10,1,0,5,0,4,0,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,14,21.428571,71.428571,0.0,7.142857
Colusa_2021 Q1 Court,273,Colusa,2021 Q1 Court,58,41,6,4,2,0,18,0,7,0,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,12,50.0,33.333333,0.0,16.666667
Colusa_2021 Q2 Court,274,Colusa,2021 Q2 Court,72,28,9,6,3,0,12,0,9,0,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,18,50.0,33.333333,0.0,16.666667
Colusa_2021 Q3 Court,275,Colusa,2021 Q3 Court,67,16,10,7,1,1,11,0,7,0,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,19,52.631579,36.842105,5.263158,5.263158
Colusa_2021 Q4 Court,276,Colusa,2021 Q4 Court,63,30,7,7,0,0,7,2,5,0,Colusa,Matthew R. Beauchamp,0,0,NA,NA,0,,14,50.0,50.0,0.0,0.0
Colusa_2022 Q1 Court,277,Colusa,2022 Q1 Court,53,29,14,18,0,3,8,0,6,0,Colusa,Matthew R. Beauchamp,0,0,NA,0,0,,35,40.0,51.428571,8.571429,0.0
Colusa_2022 Q2 Court,278,Colusa,2022 Q2 Court,69,27,17,15,3,0,14,0,11,1,Colusa,Matthew R. Beauchamp,0,0,NA,0,0,,35,48.571429,42.857143,0.0,8.571429
Colusa_2022 Q3 Court,279,Colusa,2022 Q3 Court,77,32,7,16,2,2,18,3,4,0,Colusa,Matthew R. Beauchamp,0,0,NA,0,1,,27,25.925926,59.259259,7.407407,7.407407
Colusa_2022 Q4 Court,280,Colusa,2022 Q4 Court,50,22,10,9,3,1,23,0,8,1,Colusa,Matthew R. Beauchamp,0,0,NA,0,1,,23,43.478261,39.130435,4.347826,13.043478
Colusa_2023 Q1 Court,281,Colusa,2023 Q1 Court,32,13,13,9,9,0,12,0,8,0,Colusa,Brendan Michael Farrell,0,1,1,1,0,,31,41.935484,29.032258,0.0,29.032258
Colusa_2023 Q2 Court,282,Colusa,2023 Q2 Court,49,24,19,13,6,2,23,0,9,0,,,,,,,,,40,47.5,32.5,5.0,15.0
Colusa_2023 Q3 Court,283,Colusa,2023 Q3 Court,54,22,14,14,1,0,17,0,8,1,,,,,,,,,29,48.275862,48.275862,0.0,3.448276
Colusa_2023 Q4 Court,284,Colusa,2023 Q4 Court,48,16,9,9,7,4,21,2,9,1,,,,,,,,,29,31.034483,31.034483,13.793103,24.137931
Colusa_2024 Q1 Court,285,Colusa,2024 Q1 Court,45,11,4,10,2,1,18,0,12,1,,,,,,,,,17,23.529412,58.823529,5.882353,11.764706
Colusa_2024 Q2 Court,286,Colusa,2024 Q2 Court,48,13,14,10,3,2,16,0,7,1,,,,,,,,,29,48.275862,34.482759,6.896552,10.344828
Colusa_2024 Q3 Court,287,Colusa,2024 Q3 Court,50,11,12,14,2,3,17,0,11,3,,,,,,,,,31,38.709677,45.16129,9.677419,6.451613
Colusa_2024 Q4 Court,288,Colusa,2024 Q4 Court,48,10,11,9,6,3,20,1,7,2,,,,,,,,,29,37.931034,31.034483,10.344828,20.689655
Contra Costa_2013 Q1 Court,289,Contra Costa,2013 Q1 Court,1027,143,85,286,5,51,446,23,24,NA,Contra Costa,Mark A. Peterson,0,1,1,1,0,2010 was contested,427,19.906323,66.978923,11.943794,1.17096
Contra Costa_2013 Q2 Court,290,Contra Costa,2013 Q2 Court,1139,172,88,323,11,38,524,48,33,NA,Contra Costa,Mark A. Peterson,0,1,1,1,0,,460,19.130435,70.217391,8.26087,2.391304
Contra Costa_2013 Q3 Court,291,Contra Costa,2013 Q3 Court,1165,185,98,353,1,42,567,27,45,34,Contra Costa,Mark A. Peterson,0,1,1,1,0,,494,19.838057,71.45749,8.502024,0.202429
Contra Costa_2013 Q4 Court,292,Contra Costa,2013 Q4 Court,1097,182,82,336,1,47,527,24,45,28,Contra Costa,Mark A. Peterson,0,1,1,1,0,,466,17.596567,72.103004,10.085837,0.214592
Contra Costa_2014 Q1 Court,293,Contra Costa,2014 Q1 Court,1236,183,103,362,2,57,610,36,57,62,Contra Costa,Mark A. Peterson,0,1,1,1,0,,524,19.656489,69.083969,10.877863,0.381679
Contra Costa_2014 Q2 Court,294,Contra Costa,2014 Q2 Court,1329,223,98,342,2,57,658,53,60,77,Contra Costa,Mark A. Peterson,0,1,1,1,0,,499,19.639279,68.537074,11.422846,0.400802
Contra Costa_2014 Q3 Court,295,Contra Costa,2014 Q3 Court,1254,243,51,295,0,51,656,85,51,89,Contra Costa,Mark A. Peterson,0,1,1,1,1,,397,12.846348,74.307305,12.846348,0.0
Contra Costa_2014 Q4 Court,296,Contra Costa,2014 Q4 Court,1073,298,100,229,0,38,471,75,44,54,Contra Costa,Mark A. Peterson,0,1,1,1,1,,367,27.247956,62.39782,10.354223,0.0
