County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Plumas_2019 Q3 Court,1515,Plumas,2019 Q3 Court,27,3,5,14,0,0,11,0,1,8,Plumas,David Hollister,0,1,1,0,0,,19,26.315789,73.684211,0.0,0.0
Plumas_2019 Q4 Court,1516,Plumas,2019 Q4 Court,20,5,5,8,0,0,11,0,2,3,Plumas,David Hollister,0,1,1,0,0,,13,38.461538,61.538462,0.0,0.0
Plumas_2020 Q1 Court,1517,Plumas,2020 Q1 Court,17,6,2,6,0,0,3,0,1,2,Plumas,David Hollister,0,1,1,0,0,,8,25.0,75.0,0.0,0.0
Plumas_2020 Q2 Court,1518,Plumas,2020 Q2 Court,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plumas,David Hollister,0,1,1,0,0,,,,,,
Plumas_2020 Q3 Court,1519,Plumas,2020 Q3 Court,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plumas,David Hollister,0,1,1,0,0,,,,,,
Plumas_2020 Q4 Court,1520,Plumas,2020 Q4 Court,14,9,3,2,0,3,12,0,11,2,Plumas,David Hollister,0,1,1,0,0,,8,37.5,25.0,37.5,0.0
Plumas_2021 Q1 Court,1521,Plumas,2021 Q1 Court,17,2,3,6,0,1,15,0,6,0,Plumas,David Hollister,0,1,1,0,0,,10,30.0,60.0,10.0,0.0
Plumas_2021 Q2 Court,1522,Plumas,2021 Q2 Court,14,7,4,2,0,3,8,0,5,2,Plumas,David Hollister,0,1,1,0,0,,9,44.444444,22.222222,33.333333,0.0
Plumas_2021 Q3 Court,1523,Plumas,2021 Q3 Court,22,4,0,2,0,8,6,0,5,0,Plumas,David Hollister,0,1,1,0,0,,10,0.0,20.0,80.0,0.0
Plumas_2021 Q4 Court,1524,Plumas,2021 Q4 Court,17,8,6,3,0,3,9,0,2,3,Plumas,David Hollister,0,1,1,0,0,,12,50.0,25.0,25.0,0.0
Plumas_2022 Q1 Court,1525,Plumas,2022 Q1 Court,19,3,3,2,0,3,9,0,7,2,Plumas,David Hollister,0,1,1,0,0,,8,37.5,25.0,37.5,0.0
Plumas_2022 Q2 Court,1526,Plumas,2022 Q2 Court,22,1,5,1,0,1,9,0,5,2,Plumas,David Hollister,0,1,1,0,0,,7,71.428571,14.285714,14.285714,0.0
Plumas_2022 Q3 Court,1527,Plumas,2022 Q3 Court,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plumas,David Hollister,0,1,1,0,1,,,,,,
Plumas_2022 Q4 Court,1528,Plumas,2022 Q4 Court,26,7,3,1,0,7,8,0,24,2,Plumas,David Hollister,0,1,1,0,1,,11,27.272727,9.090909,63.636364,0.0
Plumas_2023 Q1 Court,1529,Plumas,2023 Q1 Court,14,3,3,0,0,1,5,0,2,2,Plumas,David Hollister,0,NA,NA,NA,0,,4,75.0,0.0,25.0,0.0
Plumas_2023 Q2 Court,1530,Plumas,2023 Q2 Court,19,6,4,2,NA,4,4,0,3,1,,,,,,,,,,,,,
Plumas_2023 Q3 Court,1531,Plumas,2023 Q3 Court,16,2,2,1,0,3,5,0,0,2,,,,,,,,,6,33.333333,16.666667,50.0,0.0
Plumas_2023 Q4 Court,1532,Plumas,2023 Q4 Court,21,2,5,4,NA,5,3,0,2,1,,,,,,,,,,,,,
Plumas_2024 Q1 Court,1533,Plumas,2024 Q1 Court,16,5,5,3,0,3,7,0,0,4,,,,,,,,,11,45.454545,27.272727,27.272727,0.0
Plumas_2024 Q2 Court,1534,Plumas,2024 Q2 Court,19,5,4,1,1,9,9,0,3,1,,,,,,,,,15,26.666667,6.666667,60.0,6.666667
Plumas_2024 Q3 Court,1535,Plumas,2024 Q3 Court,19,1,8,3,2,2,13,0,1,1,,,,,,,,,15,53.333333,20.0,13.333333,13.333333
Plumas_2024 Q4 Court,1536,Plumas,2024 Q4 Court,19,4,0,0,1,4,2,0,0,0,,,,,,,,,5,0.0,0.0,80.0,20.0
Riverside_2013 Q1 Court,1537,Riverside,2013 Q1 Court,4312,677,928,1661,155,484,2115,236,408,NA,Riverside,Paul Zellerbach,0,1,0,1,0,https://voteinfo.net/past-elections,3228,28.748451,51.45601,14.993804,4.801735
Riverside_2013 Q2 Court,1538,Riverside,2013 Q2 Court,4748,697,879,1769,174,571,1429,403,427,0,Riverside,Paul Zellerbach,0,1,0,1,0,,3393,25.906278,52.136752,16.828765,5.128205
Riverside_2013 Q3 Court,1539,Riverside,2013 Q3 Court,4934,733,1051,1675,244,790,960,101,514,184,Riverside,Paul Zellerbach,0,1,0,1,0,,3760,27.952128,44.547872,21.010638,6.489362
Riverside_2013 Q4 Court,1540,Riverside,2013 Q4 Court,4550,1393,845,1525,200,454,616,89,443,480,Riverside,Paul Zellerbach,0,1,0,1,0,,3024,27.943122,50.429894,15.013228,6.613757
Riverside_2014 Q1 Court,1541,Riverside,2014 Q1 Court,4452,1586,916,1639,225,560,699,83,445,475,Riverside,Paul Zellerbach,0,1,0,1,0,,3340,27.42515,49.071856,16.766467,6.736527
Riverside_2014 Q2 Court,1542,Riverside,2014 Q2 Court,4868,1677,876,1733,258,614,616,33,526,457,Riverside,Paul Zellerbach,0,1,0,1,0,,3481,25.165182,49.784545,17.63861,7.411663
Riverside_2014 Q3 Court,1543,Riverside,2014 Q3 Court,4815,1800,996,1672,301,553,535,44,616,446,Riverside,Paul Zellerbach,0,1,0,1,1,,3522,28.279387,47.473027,15.701306,8.546281
Riverside_2014 Q4 Court,1544,Riverside,2014 Q4 Court,3506,1368,722,1085,120,295,385,22,452,407,Riverside,Paul Zellerbach,0,1,0,1,1,,2222,32.493249,48.829883,13.276328,5.40054
Riverside_2015 Q1 Court,1545,Riverside,2015 Q1 Court,2812,950,779,920,84,235,234,10,456,497,Riverside,Mike Hestrin,0,1,1,1,0,,2018,38.602577,45.589693,11.645193,4.162537
Riverside_2015 Q2 Court,1546,Riverside,2015 Q2 Court,3082,846,771,1065,51,265,110,17,482,696,Riverside,Mike Hestrin,0,1,1,1,0,,2152,35.827138,49.488848,12.314126,2.369888
Riverside_2015 Q3 Court,1547,Riverside,2015 Q3 Court,3122,926,805,1051,72,257,123,13,474,594,Riverside,Mike Hestrin,0,1,1,1,0,,2185,36.842105,48.100686,11.762014,3.295195
Riverside_2015 Q4 Court,1548,Riverside,2015 Q4 Court,2565,733,701,981,77,205,106,15,448,613,Riverside,Mike Hestrin,0,1,1,1,0,,1964,35.692464,49.949084,10.437882,3.92057
Riverside_2016 Q1 Court,1549,Riverside,2016 Q1 Court,2919,719,730,1057,69,218,83,6,409,597,Riverside,Mike Hestrin,0,1,1,1,0,,2074,35.197686,50.96432,10.51109,3.326905
Riverside_2016 Q2 Court,1550,Riverside,2016 Q2 Court,3353,741,635,937,61,229,125,6,482,641,Riverside,Mike Hestrin,0,1,1,1,0,,1862,34.103115,50.322234,12.298604,3.276047
Riverside_2016 Q3 Court,1551,Riverside,2016 Q3 Court,3862,1001,875,1132,112,260,178,10,536,653,Riverside,Mike Hestrin,0,1,1,1,0,,2379,36.78016,47.583018,10.928962,4.70786
Riverside_2016 Q4 Court,1552,Riverside,2016 Q4 Court,3204,912,730,1099,117,225,178,24,530,614,Riverside,Mike Hestrin,0,1,1,1,0,,2171,33.625058,50.621833,10.363888,5.389222
Riverside_2017 Q1 Court,1553,Riverside,2017 Q1 Court,3022,990,902,1139,109,226,166,6,485,451,Riverside,Mike Hestrin,0,1,1,1,0,,2376,37.962963,47.93771,9.511785,4.587542
Riverside_2017 Q2 Court,1554,Riverside,2017 Q2 Court,2993,832,864,1007,151,243,111,8,531,473,Riverside,Mike Hestrin,0,1,1,1,0,,2265,38.145695,44.459161,10.728477,6.666667
Riverside_2017 Q3 Court,1555,Riverside,2017 Q3 Court,3225,758,773,1013,95,231,191,14,530,480,Riverside,Mike Hestrin,0,1,1,1,0,,2112,36.600379,47.964015,10.9375,4.498106
Riverside_2017 Q4 Court,1556,Riverside,2017 Q4 Court,3377,746,701,833,109,203,369,102,484,471,Riverside,Mike Hestrin,0,1,1,1,0,,1846,37.973998,45.124594,10.99675,5.904659
Riverside_2018 Q1 Court,1557,Riverside,2018 Q1 Court,3571,813,858,1055,110,264,247,114,606,512,Riverside,Mike Hestrin,0,1,1,1,0,,2287,37.516397,46.130302,11.543507,4.809794
Riverside_2018 Q2 Court,1558,Riverside,2018 Q2 Court,3274,921,787,1117,129,243,246,99,620,435,Riverside,Mike Hestrin,0,1,1,1,0,,2276,34.578207,49.077329,10.676626,5.667838
Riverside_2018 Q3 Court,1559,Riverside,2018 Q3 Court,3096,897,758,884,125,208,239,95,582,462,Riverside,Mike Hestrin,0,1,1,1,1,,1975,38.379747,44.759494,10.531646,6.329114
Riverside_2018 Q4 Court,1560,Riverside,2018 Q4 Court,2929,850,685,921,110,232,183,75,545,453,Riverside,Mike Hestrin,0,1,1,1,1,,1948,35.164271,47.279261,11.909651,5.646817
Riverside_2019 Q1 Court,1561,Riverside,2019 Q1 Court,3170,929,767,840,93,235,243,84,595,481,Riverside,Mike Hestrin,0,1,1,1,0,,1935,39.638243,43.410853,12.144703,4.806202
Riverside_2019 Q2 Court,1562,Riverside,2019 Q2 Court,3014,1081,784,864,66,215,232,74,562,476,Riverside,Mike Hestrin,0,1,1,1,0,,1929,40.64282,44.790047,11.145671,3.421462
Riverside_2019 Q3 Court,1563,Riverside,2019 Q3 Court,3126,983,784,969,77,227,240,96,608,509,Riverside,Mike Hestrin,0,1,1,1,0,,2057,38.113758,47.107438,11.035489,3.743316
Riverside_2019 Q4 Court,1564,Riverside,2019 Q4 Court,2858,907,712,948,87,175,201,60,597,585,Riverside,Mike Hestrin,0,1,1,1,0,,1922,37.044745,49.323621,9.105099,4.526535
Riverside_2020 Q1 Court,1565,Riverside,2020 Q1 Court,2828,769,274,923,82,162,204,78,527,448,Riverside,Mike Hestrin,0,1,1,1,0,,1441,19.014573,64.052741,11.242193,5.690493
Riverside_2020 Q2 Court,1566,Riverside,2020 Q2 Court,2992,130,251,332,17,25,128,49,363,408,Riverside,Mike Hestrin,0,1,1,1,0,,625,40.16,53.12,4.0,2.72
Riverside_2020 Q3 Court,1567,Riverside,2020 Q3 Court,2868,1392,784,778,46,92,362,121,775,536,Riverside,Mike Hestrin,0,1,1,1,0,,1700,46.117647,45.764706,5.411765,2.705882
Riverside_2020 Q4 Court,1568,Riverside,2020 Q4 Court,2763,1202,638,781,46,81,295,107,737,556,Riverside,Mike Hestrin,0,1,1,1,0,,1546,41.267788,50.517464,5.239327,2.97542
Riverside_2021 Q1 Court,1569,Riverside,2021 Q1 Court,3006,1769,650,689,57,99,243,75,581,439,Riverside,Mike Hestrin,0,1,1,1,0,,1495,43.478261,46.086957,6.622074,3.812709
Riverside_2021 Q2 Court,1570,Riverside,2021 Q2 Court,3118,1897,851,863,79,214,227,84,571,388,Riverside,Mike Hestrin,0,1,1,1,0,,2007,42.401594,42.999502,10.662681,3.936223
Riverside_2021 Q3 Court,1571,Riverside,2021 Q3 Court,3489,2106,846,1127,71,240,318,125,602,393,Riverside,Mike Hestrin,0,1,1,1,0,,2284,37.04028,49.343257,10.507881,3.108581
Riverside_2021 Q4 Court,1572,Riverside,2021 Q4 Court,3524,2184,721,914,84,175,264,150,541,322,Riverside,Mike Hestrin,0,1,1,1,0,,1894,38.067582,48.257656,9.239704,4.435058
Riverside_2022 Q1 Court,1573,Riverside,2022 Q1 Court,3738,2350,815,1006,85,167,353,115,558,347,Riverside,Mike Hestrin,0,1,1,1,0,,2073,39.315002,48.528702,8.055958,4.100338
Riverside_2022 Q2 Court,1574,Riverside,2022 Q2 Court,3914,2581,849,1044,81,170,318,115,533,372,Riverside,Mike Hestrin,0,1,1,1,0,,2144,39.598881,48.69403,7.929104,3.777985
Riverside_2022 Q3 Court,1575,Riverside,2022 Q3 Court,3460,2571,847,1165,149,166,301,120,556,397,Riverside,Mike Hestrin,0,1,1,1,1,,2327,36.398797,50.064461,7.133648,6.403094
Riverside_2022 Q4 Court,1576,Riverside,2022 Q4 Court,2700,2200,826,1038,124,174,331,153,483,400,Riverside,Mike Hestrin,0,1,1,1,1,,2162,38.205365,48.011101,8.048104,5.73543
Riverside_2023 Q1 Court,1577,Riverside,2023 Q1 Court,3021,1946,1027,1194,109,176,387,122,452,418,Riverside,Mike Hestrin,0,NA,NA,NA,0,,2506,40.981644,47.64565,7.023144,4.349561
Riverside_2023 Q2 Court,1578,Riverside,2023 Q2 Court,3255,1842,1089,1171,109,165,298,131,464,442,,,,,,,,,2534,42.975533,46.211523,6.511444,4.3015
Riverside_2023 Q3 Court,1579,Riverside,2023 Q3 Court,3384,1879,920,1095,73,159,278,112,538,490,,,,,,,,,2247,40.94348,48.731642,7.076101,3.248776
Riverside_2023 Q4 Court,1580,Riverside,2023 Q4 Court,3138,1654,800,880,84,159,253,117,466,442,,,,,,,,,1923,41.601664,45.76183,8.268331,4.368175
Riverside_2024 Q1 Court,1581,Riverside,2024 Q1 Court,3607,1712,879,992,73,149,269,85,462,464,,,,,,,,,2093,41.997133,47.396082,7.118968,3.487817
Riverside_2024 Q2 Court,1582,Riverside,2024 Q2 Court,3895,1828,937,1210,90,175,236,70,426,439,,,,,,,,,2412,38.84743,50.165837,7.25539,3.731343
Riverside_2024 Q3 Court,1583,Riverside,2024 Q3 Court,3579,2104,905,1167,88,195,261,96,521,499,,,,,,,,,2355,38.428875,49.55414,8.280255,3.73673
Riverside_2024 Q4 Court,1584,Riverside,2024 Q4 Court,7014,1804,869,1067,96,163,281,111,475,441,,,,,,,,,2195,39.589977,48.610478,7.425968,4.373576
Sacramento_2013 Q1 Court,1585,Sacramento,2013 Q1 Court,2361,NA,NA,NA,82,34,NA,NA,48,NA,Sacramento,Jane Scully,0,0,NA,NA,0,,,,,,
Sacramento_2013 Q2 Court,1586,Sacramento,2013 Q2 Court,2505,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sacramento,Jane Scully,0,0,NA,NA,0,,,,,,
Sacramento_2013 Q3 Court,1587,Sacramento,2013 Q3 Court,2841,NA,NA,NA,67,62,NA,NA,98,198,Sacramento,Jane Scully,0,0,NA,NA,0,,,,,,
Sacramento_2013 Q4 Court,1588,Sacramento,2013 Q4 Court,2857,NA,NA,NA,61,83,NA,NA,92,257,Sacramento,Jane Scully,0,0,NA,NA,0,,,,,,
Sacramento_2014 Q1 Court,1589,Sacramento,2014 Q1 Court,2832,NA,NA,NA,106,64,NA,NA,88,234,Sacramento,Jane Scully,0,0,NA,NA,0,,,,,,
Sacramento_2014 Q2 Court,1590,Sacramento,2014 Q2 Court,3051,NA,NA,NA,77,54,NA,NA,81,208,Sacramento,Jane Scully,0,0,NA,1,0,,,,,,
Sacramento_2014 Q3 Court,1591,Sacramento,2014 Q3 Court,3048,NA,NA,NA,68,68,NA,NA,90,215,Sacramento,Jane Scully,0,0,NA,1,1,,,,,,
Sacramento_2014 Q4 Court,1592,Sacramento,2014 Q4 Court,2394,NA,NA,NA,64,52,NA,NA,73,148,Sacramento,Jane Scully,0,0,NA,1,1,,,,,,
Sacramento_2015 Q1 Court,1593,Sacramento,2015 Q1 Court,3220,NA,NA,NA,47,66,NA,NA,69,139,Sacramento,Jane Scully,0,0,NA,1,0,,,,,,
Sacramento_2015 Q2 Court,1594,Sacramento,2015 Q2 Court,3329,NA,NA,NA,32,86,NA,NA,65,157,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2015 Q3 Court,1595,Sacramento,2015 Q3 Court,3540,NA,NA,NA,79,90,NA,NA,61,171,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2015 Q4 Court,1596,Sacramento,2015 Q4 Court,3111,NA,NA,NA,68,110,NA,NA,47,129,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2016 Q1 Court,1597,Sacramento,2016 Q1 Court,2888,NA,NA,NA,58,103,NA,NA,53,124,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2016 Q2 Court,1598,Sacramento,2016 Q2 Court,3022,NA,NA,NA,127,72,NA,NA,51,133,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2016 Q3 Court,1599,Sacramento,2016 Q3 Court,3024,NA,NA,NA,118,58,NA,NA,79,101,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2016 Q4 Court,1600,Sacramento,2016 Q4 Court,2680,NA,NA,NA,94,51,NA,NA,68,91,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2017 Q1 Court,1601,Sacramento,2017 Q1 Court,2781,NA,NA,NA,92,52,NA,NA,52,0,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2017 Q2 Court,1602,Sacramento,2017 Q2 Court,2953,NA,NA,NA,107,87,NA,NA,49,113,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2017 Q3 Court,1603,Sacramento,2017 Q3 Court,3244,NA,NA,NA,109,68,NA,NA,66,131,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2017 Q4 Court,1604,Sacramento,2017 Q4 Court,3123,NA,NA,NA,135,125,NA,NA,72,149,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2018 Q1 Court,1605,Sacramento,2018 Q1 Court,3347,NA,NA,NA,33,92,NA,NA,67,151,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2018 Q2 Court,1606,Sacramento,2018 Q2 Court,3358,NA,NA,NA,26,70,NA,NA,76,159,Sacramento,Anne Marie Schubert,0,1,1,1,0,,,,,,
Sacramento_2018 Q3 Court,1607,Sacramento,2018 Q3 Court,2618,NA,NA,NA,28,48,NA,NA,72,163,Sacramento,Anne Marie Schubert,0,1,1,1,1,,,,,,
Sacramento_2018 Q4 Court,1608,Sacramento,2018 Q4 Court,2525,NA,NA,NA,38,61,NA,NA,64,166,Sacramento,Anne Marie Schubert,0,1,1,1,1,,,,,,
Sacramento_2019 Q1 Court,1609,Sacramento,2019 Q1 Court,2290,NA,NA,NA,45,59,NA,NA,55,162,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2019 Q2 Court,1610,Sacramento,2019 Q2 Court,2406,NA,NA,NA,34,47,NA,NA,50,190,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2019 Q3 Court,1611,Sacramento,2019 Q3 Court,2681,NA,NA,NA,32,44,NA,NA,82,190,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2019 Q4 Court,1612,Sacramento,2019 Q4 Court,2712,NA,NA,NA,35,52,NA,NA,91,184,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2020 Q1 Court,1613,Sacramento,2020 Q1 Court,2640,NA,NA,NA,24,46,NA,NA,89,324,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2020 Q2 Court,1614,Sacramento,2020 Q2 Court,3121,NA,NA,NA,14,13,NA,NA,6,180,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2020 Q3 Court,1615,Sacramento,2020 Q3 Court,3286,NA,NA,NA,10,23,NA,NA,41,277,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2020 Q4 Court,1616,Sacramento,2020 Q4 Court,2823,NA,NA,NA,24,27,NA,NA,63,111,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2021 Q1 Court,1617,Sacramento,2021 Q1 Court,3361,NA,NA,NA,40,32,NA,NA,68,89,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2021 Q2 Court,1618,Sacramento,2021 Q2 Court,2886,NA,NA,NA,29,45,NA,NA,87,81,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2021 Q3 Court,1619,Sacramento,2021 Q3 Court,3110,NA,NA,NA,23,36,NA,NA,59,107,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2021 Q4 Court,1620,Sacramento,2021 Q4 Court,2609,NA,NA,NA,26,26,NA,NA,60,100,Sacramento,Anne Marie Schubert,0,0,NA,NA,0,,,,,,
Sacramento_2022 Q1 Court,1621,Sacramento,2022 Q1 Court,2889,NA,NA,NA,29,25,NA,NA,69,87,Sacramento,Anne Marie Schubert,0,0,NA,1,0,,,,,,
Sacramento_2022 Q2 Court,1622,Sacramento,2022 Q2 Court,2979,NA,NA,NA,27,38,NA,NA,91,73,Sacramento,Anne Marie Schubert,0,0,NA,1,0,,,,,,
Sacramento_2022 Q3 Court,1623,Sacramento,2022 Q3 Court,2870,NA,NA,NA,13,36,NA,NA,91,102,Sacramento,Anne Marie Schubert,0,0,NA,1,1,,,,,,
Sacramento_2022 Q4 Court,1624,Sacramento,2022 Q4 Court,2681,0,0,0,17,24,0,0,78,115,Sacramento,Anne Marie Schubert,0,0,NA,1,1,,41,0.0,0.0,58.536585,41.463415
Sacramento_2023 Q1 Court,1625,Sacramento,2023 Q1 Court,2086,NA,NA,NA,24,26,NA,NA,90,104,Sacramento,Thien Ho,0,NA,NA,NA,0,,,,,,
Sacramento_2023 Q2 Court,1626,Sacramento,2023 Q2 Court,2200,NA,NA,NA,13,24,NA,NA,77,127,,,,,,,,,,,,,
Sacramento_2023 Q3 Court,1627,Sacramento,2023 Q3 Court,2708,NA,NA,NA,15,17,NA,NA,88,120,,,,,,,,,,,,,
Sacramento_2023 Q4 Court,1628,Sacramento,2023 Q4 Court,2380,NA,NA,NA,33,15,NA,NA,73,109,,,,,,,,,,,,,
Sacramento_2024 Q1 Court,1629,Sacramento,2024 Q1 Court,2453,NA,NA,NA,17,20,NA,NA,94,103,,,,,,,,,,,,,
Sacramento_2024 Q2 Court,1630,Sacramento,2024 Q2 Court,2555,NA,NA,NA,32,21,NA,NA,74,96,,,,,,,,,,,,,
Sacramento_2024 Q3 Court,1631,Sacramento,2024 Q3 Court,2747,NA,NA,NA,17,24,NA,NA,76,132,,,,,,,,,,,,,
Sacramento_2024 Q4 Court,1632,Sacramento,2024 Q4 Court,2646,NA,NA,NA,27,29,NA,NA,54,121,,,,,,,,,,,,,
San Benito_2013 Q1 Court,1633,San Benito,2013 Q1 Court,71,37,8,34,0,12,60,5,18,NA,San Benito,Candice Hooper Mancino,0,1,1,0,0,https://www.sanbenitocounty-ca-cre.gov/elections/election-results,54,14.814815,62.962963,22.222222,0.0
San Benito_2013 Q2 Court,1634,San Benito,2013 Q2 Court,105,35,5,28,0,6,45,8,9,NA,San Benito,Candice Hooper Mancino,0,1,1,0,0,,39,12.820513,71.794872,15.384615,0.0
San Benito_2013 Q3 Court,1635,San Benito,2013 Q3 Court,106,36,6,33,1,3,43,16,10,2,San Benito,Candice Hooper Mancino,0,1,1,0,0,,43,13.953488,76.744186,6.976744,2.325581
San Benito_2013 Q4 Court,1636,San Benito,2013 Q4 Court,93,36,6,33,1,3,43,38,NA,NA,San Benito,Candice Hooper Mancino,0,1,1,0,0,,43,13.953488,76.744186,6.976744,2.325581
San Benito_2014 Q1 Court,1637,San Benito,2014 Q1 Court,107,39,4,26,2,3,62,7,6,3,San Benito,Candice Hooper Mancino,0,1,1,0,0,,35,11.428571,74.285714,8.571429,5.714286
San Benito_2014 Q2 Court,1638,San Benito,2014 Q2 Court,146,55,7,45,3,0,56,8,10,0,San Benito,Candice Hooper Mancino,0,1,1,0,0,,55,12.727273,81.818182,0.0,5.454545
San Benito_2014 Q3 Court,1639,San Benito,2014 Q3 Court,123,80,10,36,2,7,53,19,10,4,San Benito,Candice Hooper Mancino,0,1,1,0,1,,55,18.181818,65.454545,12.727273,3.636364
San Benito_2014 Q4 Court,1640,San Benito,2014 Q4 Court,109,45,11,31,1,6,29,12,9,3,San Benito,Candice Hooper Mancino,0,1,1,0,1,,49,22.44898,63.265306,12.244898,2.040816
San Benito_2015 Q1 Court,1641,San Benito,2015 Q1 Court,97,35,4,28,0,2,26,11,11,2,San Benito,Candice Hooper Mancino,0,1,1,0,0,,34,11.764706,82.352941,5.882353,0.0
San Benito_2015 Q2 Court,1642,San Benito,2015 Q2 Court,99,51,11,30,0,6,22,2,4,7,San Benito,Candice Hooper Mancino,0,1,1,0,0,,47,23.404255,63.829787,12.765957,0.0
San Benito_2015 Q3 Court,1643,San Benito,2015 Q3 Court,109,58,8,29,0,1,18,17,11,4,San Benito,Candice Hooper Mancino,0,1,1,0,0,,38,21.052632,76.315789,2.631579,0.0
San Benito_2015 Q4 Court,1644,San Benito,2015 Q4 Court,101,40,7,15,1,4,35,10,6,3,San Benito,Candice Hooper Mancino,0,1,1,0,0,,27,25.925926,55.555556,14.814815,3.703704
San Benito_2016 Q1 Court,1645,San Benito,2016 Q1 Court,54,35,4,47,0,1,35,5,10,4,San Benito,Candice Hooper Mancino,0,1,1,0,0,,52,7.692308,90.384615,1.923077,0.0
San Benito_2016 Q2 Court,1646,San Benito,2016 Q2 Court,82,41,11,19,0,4,42,11,6,2,San Benito,Candice Hooper Mancino,0,1,1,0,0,,34,32.352941,55.882353,11.764706,0.0
San Benito_2016 Q3 Court,1647,San Benito,2016 Q3 Court,66,30,3,29,2,3,40,12,8,4,San Benito,Candice Hooper Mancino,0,1,1,0,0,,37,8.108108,78.378378,8.108108,5.405405
San Benito_2016 Q4 Court,1648,San Benito,2016 Q4 Court,61,31,8,25,0,3,55,19,6,3,San Benito,Candice Hooper Mancino,0,1,1,0,0,,36,22.222222,69.444444,8.333333,0.0
San Benito_2017 Q1 Court,1649,San Benito,2017 Q1 Court,84,25,11,21,0,1,62,11,8,3,San Benito,Candice Hooper Mancino,0,1,1,0,0,,33,33.333333,63.636364,3.030303,0.0
San Benito_2017 Q2 Court,1650,San Benito,2017 Q2 Court,92,33,12,17,0,4,49,17,11,0,San Benito,Candice Hooper Mancino,0,1,1,0,0,,33,36.363636,51.515152,12.121212,0.0
San Benito_2017 Q3 Court,1651,San Benito,2017 Q3 Court,46,27,5,11,1,5,35,16,9,2,San Benito,Candice Hooper Mancino,0,1,1,0,0,,22,22.727273,50.0,22.727273,4.545455
San Benito_2017 Q4 Court,1652,San Benito,2017 Q4 Court,55,18,11,12,2,1,35,12,17,0,San Benito,Candice Hooper Mancino,0,1,1,0,0,,26,42.307692,46.153846,3.846154,7.692308
San Benito_2018 Q1 Court,1653,San Benito,2018 Q1 Court,57,28,10,19,1,5,25,7,8,0,San Benito,Candice Hooper Mancino,0,1,1,0,0,,35,28.571429,54.285714,14.285714,2.857143
San Benito_2018 Q2 Court,1654,San Benito,2018 Q2 Court,57,27,9,14,0,2,33,7,14,2,San Benito,Candice Hooper Mancino,0,1,1,0,0,,25,36.0,56.0,8.0,0.0
San Benito_2018 Q3 Court,1655,San Benito,2018 Q3 Court,71,15,6,9,0,2,17,7,10,3,San Benito,Candice Hooper Mancino,0,1,1,0,1,,17,35.294118,52.941176,11.764706,0.0
San Benito_2018 Q4 Court,1656,San Benito,2018 Q4 Court,54,16,9,9,0,2,22,11,15,1,San Benito,Candice Hooper Mancino,0,1,1,0,1,,20,45.0,45.0,10.0,0.0
